Welcome to the profile statistics browser.
out_profile/demo.pts% out_profile/demo.pts% Sat Jul 13 23:24:38 2024    out_profile/demo.pts

         2834940 function calls (2799893 primitive calls) in 75.104 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    31018    0.013    0.000    0.030    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/dtypes/generic.py:42(_instancecheck)
       80    0.013    0.000    0.013    0.000 {method 'argsort' of 'numpy.ndarray' objects}
        1    0.013    0.013    0.021    0.021 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/reshape/merge.py:2637(_get_join_keys)
     4751    0.013    0.000    0.017    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/indexes/base.py:649(_simple_new)
      574    0.013    0.000    0.017    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/array_algos/take.py:564(_take_preprocess_indexer_and_fill_value)
    33552    0.012    0.000    0.015    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/internals/managers.py:2004(internal_values)
    13642    0.012    0.000    0.018    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/indexing.py:2765(check_dict_or_set_indexers)
      833    0.012    0.000    0.012    0.000 {method 'sub' of 're.Pattern' objects}
    33552    0.012    0.000    0.026    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/series.py:831(_values)
    31018    0.011    0.000    0.016    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/dtypes/generic.py:37(_check)
     4103    0.011    0.000    0.038    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/internals/managers.py:1863(from_array)
       10    0.010    0.001    1.878    0.188 /home/zofia/NPP/cinematic_impact/src/cinematic_impact_package/lib.py:391(_apply_measure)
        6    0.010    0.002   45.517    7.586 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/io/parsers/readers.py:868(read_csv)
       10    0.010    0.001    0.010    0.001 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/sorting.py:644(get_group_index_sorter)
    31345    0.010    0.000    0.015    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/series.py:734(name)
       23    0.010    0.000    0.012    0.001 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/reshape/merge.py:1002(_maybe_add_join_keys)
    12544    0.010    0.000    0.041    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/generic.py:339(_from_mgr)
     7995    0.010    0.000    0.029    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/series.py:784(name)
     8139    0.009    0.000    0.048    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/frame.py:678(_constructor_sliced_from_mgr)
     3866    0.009    0.000    0.009    0.000 {method 'set' of '_contextvars.ContextVar' objects}
    24802    0.009    0.000    0.013    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/dtypes/inference.py:334(is_hashable)
        1    0.009    0.009    0.013    0.013 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/sorting.py:687(compress_group_index)
      447    0.009    0.000    0.009    0.000 {method 'findall' of 're.Pattern' objects}
      290    0.009    0.000    0.009    0.000 {method 'astype' of 'numpy.ndarray' objects}
        1    0.009    0.009   12.271   12.271 /home/zofia/NPP/cinematic_impact/src/cinematic_impact_package/lib.py:77(setup_title2info)
       12    0.009    0.001    0.009    0.001 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/algorithms.py:1067(rank)
        1    0.008    0.008    0.014    0.014 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/generic.py:244(NDFrame)
     5304    0.008    0.000    0.018    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/_config/config.py:127(_get_single_key)
     3871    0.008    0.000    0.046    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/ops/array_ops.py:189(_na_arithmetic_op)
     1092    0.008    0.000    0.051    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
    16676    0.008    0.000    0.008    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/flags.py:51(__init__)
        1    0.008    0.008    0.008    0.008 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/indexes/base.py:389(_left_indexer)
     8136    0.008    0.000    0.019    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/series.py:1471(_set_as_cached)
    16464    0.008    0.000    0.008    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/flags.py:87(allows_duplicate_labels)
       95    0.008    0.000    0.008    0.000 {method 'reshape' of 'numpy.ndarray' objects}
        1    0.008    0.008    0.008    0.008 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/sorting.py:246(_decons_group_index)
       15    0.008    0.001    0.008    0.001 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/numpy/_core/numeric.py:143(ones)
     8099    0.008    0.000    0.009    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/indexes/base.py:3777(get_loc)
        7    0.008    0.001    1.783    0.255 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/internals/managers.py:2121(create_block_manager_from_column_arrays)
       13    0.008    0.001    0.008    0.001 {method 'upper' of 'str' objects}
       41    0.008    0.000    0.086    0.002 {built-in method builtins.print}
     3914    0.008    0.000    0.013    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/ops/common.py:103(_maybe_match_name)
     3862    0.008    0.000    0.057    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/ops/array_ops.py:240(arithmetic_op)
     4348    0.007    0.000    0.023    0.000 /home/zofia/NPP/cinematic_impact/src/cinematic_impact_package/lib.py:404(_code_to_country)
        1    0.007    0.007    0.007    0.007 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/sorting.py:122(get_group_index)
      384    0.007    0.000    0.026    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/dtypes/cast.py:1157(maybe_infer_to_datetimelike)
     4518    0.007    0.000    0.017    0.000 /usr/lib/python3.11/inspect.py:896(getfile)
     5304    0.007    0.000    0.009    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/_config/config.py:635(_get_root)
    20864    0.007    0.000    0.007    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/_config/__init__.py:34(using_copy_on_write)
     4148    0.007    0.000    0.012    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/internals/blocks.py:2716(new_block)
    19422    0.007    0.000    0.007    0.000 <frozen codecs>:331(getstate)
     4149    0.007    0.000    0.019    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/indexes/base.py:5425(_getitem_slice)
        2    0.007    0.003    0.007    0.003 {built-in method _operator.eq}
     3993    0.007    0.000    0.010    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/construction.py:769(_try_cast)
18508/18442    0.006    0.000    0.008    0.000 {built-in method __new__ of type object at 0x7f9e43489d40}
     4184    0.006    0.000    0.011    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/internals/blocks.py:2645(maybe_coerce_values)
     4231    0.006    0.000    0.023    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/generic.py:807(_set_axis)
     8726    0.006    0.000    0.011    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/construction.py:416(extract_array)
       25    0.006    0.000    0.006    0.000 {built-in method io.open}
     5248    0.006    0.000    0.033    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/_config/config.py:145(_get_option)
     8483    0.006    0.000    0.007    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/construction.py:481(ensure_wrapped_if_datetimelike)
     3862    0.006    0.000    0.008    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/ops/array_ops.py:507(maybe_prepare_scalar_for_op)
    19420    0.006    0.000    0.008    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/indexes/base.py:909(__len__)
     8018    0.006    0.000    0.020    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/dtypes/common.py:1571(validate_all_hashable)
   273/84    0.006    0.000    0.015    0.000 /usr/lib/python3.11/re/_parser.py:509(_parse)
