Welcome to the profile statistics browser.
out_profile/demo.pts% out_profile/demo.pts% Sat Jul 13 23:24:38 2024    out_profile/demo.pts

         2834940 function calls (2799893 primitive calls) in 75.104 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       13    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/generic.py:4518(_check_inplace_and_allows_duplicate_labels)
        1    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/util/_validators.py:168(validate_args_and_kwargs)
       21    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/six.py:194(find_spec)
       13    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/numpy/lib/mixins.py:46(_numeric_methods)
        9    0.000    0.000    0.001    0.000 /usr/lib/python3.11/importlib/metadata/__init__.py:914(<genexpr>)
        6    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/io/parsers/c_parser_wrapper.py:213(<listcomp>)
        1    0.000    0.000    0.001    0.001 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/io/pickle.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/io/parsers/c_parser_wrapper.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/dateutil/tz/tz.py:1552(__call__)
       19    0.000    0.000    0.000    0.000 /usr/lib/python3.11/dataclasses.py:820(_set_qualname)
        1    0.000    0.000    0.006    0.006 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/numpy/lib/_utils_impl.py:1(<module>)
      167    0.000    0.000    0.000    0.000 /usr/lib/python3.11/enum.py:1149(__init__)
        1    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/tools/timedeltas.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/plotting/_core.py:639(PlotAccessor)
       72    0.000    0.000    0.000    0.000 {method 'removeprefix' of 'str' objects}
       24    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/internals/managers.py:2294(<listcomp>)
        1    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/computation/expr.py:324(f)
       10    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/groupby/ops.py:694(<listcomp>)
        6    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/internals/managers.py:1850(from_blocks)
       16    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/window/doc.py:93(window_agg_numba_parameters)
       15    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/dtypes/dtypes.py:1054(construct_from_string)
        1    0.000    0.000    0.001    0.001 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/dtypes/base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/io/excel/_odfreader.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/gzip.py:1(<module>)
       15    0.000    0.000    0.000    0.000 <frozen posixpath>:389(normpath)
       41    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/indexes/range.py:280(start)
      3/2    0.000    0.000    0.002    0.001 /usr/lib/python3.11/sysconfig.py:629(get_config_vars)
        1    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/io/sas/sasreader.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/numpy/linalg/_linalg.py:43(EigResult)
       28    0.000    0.000    0.000    0.000 /usr/lib/python3.11/calendar.py:79(__getitem__)
        1    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/_config/display.py:1(<module>)
        1    0.000    0.000    0.002    0.002 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/computation/engines.py:1(<module>)
       13    0.000    0.000    0.000    0.000 /usr/lib/python3.11/functools.py:651(cache)
       15    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/dtypes/dtypes.py:831(construct_from_string)
        1    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/methods/selectn.py:1(<module>)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.11/gettext.py:511(translation)
        1    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/arrays/string_arrow.py:82(ArrowStringArray)
       30    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/numpy/_core/getlimits.py:699(min)
        1    0.000    0.000    0.002    0.002 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/arrays/sparse/accessor.py:1(<module>)
       31    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/io/excel/_calamine.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.11/json/decoder.py:1(<module>)
        9    0.000    0.000    0.000    0.000 /usr/lib/python3.11/enum.py:1506(__or__)
        3    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/internals/managers.py:1633(as_array)
       10    0.000    0.000    0.001    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/numpy/ma/extras.py:252(getdoc)
       19    0.000    0.000    0.000    0.000 /usr/lib/python3.11/pathlib.py:515(_from_parsed_parts)
       18    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/numpy/ma/core.py:1020(__init__)
       13    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/numpy/ma/core.py:8544(_replace_return_type)
        6    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/io/parsers/base_parser.py:1269(_process_date_conversion)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.11/re/_parser.py:999(parse_template)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/csv.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method time.tzset}
        8    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/numpy/_core/getlimits.py:62(smallest_subnormal)
        1    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/strings/object_array.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/pprint.py:106(PrettyPrinter)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.11/uuid.py:139(__init__)
        1    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/io/orc.py:1(<module>)
      112    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/_distutils_hack/__init__.py:96(<lambda>)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.11/encodings/__init__.py:43(normalize_encoding)
       26    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/numpy/ma/core.py:6974(__init__)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7f9e22e52020}
       64    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/util/_decorators.py:437(__init__)
        1    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/internals/base.py:1(<module>)
       23    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/indexes/base.py:3211(_validate_sort_keyword)
       14    0.000    0.000    0.000    0.000 /usr/lib/python3.11/argparse.py:1669(_add_action)
       23    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
      108    0.000    0.000    0.000    0.000 {built-in method _struct.pack}
        6    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/io/parsers/c_parser_wrapper.py:326(<listcomp>)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.11/_strptime.py:90(<listcomp>)
        1    0.000    0.000    0.001    0.001 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/groupby/base.py:1(<module>)
       20    0.000    0.000    0.000    0.000 {built-in method _codecs.lookup_error}
       42    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/io/formats/csvs.py:113(header)
       10    0.000    0.000    0.000    0.000 /usr/lib/python3.11/dataclasses.py:1256(is_dataclass)
        1    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/numpy/_core/_exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/arrays/floating.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.11/bz2.py:1(<module>)
       67    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/numpy/_core/fromnumeric.py:3063(_prod_dispatcher)
       64    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/ops/common.py:24(unpack_zerodim_and_defer)
        1    0.000    0.000    0.027    0.027 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/_config/__init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/util/_validators.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/io/pytables.py:3342(Table)
       16    0.000    0.000    0.000    0.000 {built-in method time.strftime}
        1    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/internals/managers.py:108(BaseBlockManager)
        7    0.000    0.000    0.000    0.000 /usr/lib/python3.11/enum.py:920(<dictcomp>)
      134    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/six.py:93(__init__)
        4    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/numpy/_core/shape_base.py:23(atleast_1d)
       70    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        1    0.000    0.000    0.004    0.004 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/dateutil/tz/__init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/sorting.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/accessor.py:1(<module>)
        8    0.000    0.000    0.001    0.000 /usr/lib/python3.11/importlib/metadata/__init__.py:812(search)
        1    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/numpy/lib/_polynomial_impl.py:1066(poly1d)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.11/re/_compiler.py:389(_bytes_to_codes)
       13    0.000    0.000    0.000    0.000 /usr/lib/python3.11/argparse.py:926(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/datetime.py:893(date)
        1    0.000    0.000    0.001    0.001 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/_testing/_io.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/io/parsers/base_parser.py:101(ParserBase)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/numbers.py:1(<module>)
       12    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/dtypes/common.py:91(ensure_python_int)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.11/locale.py:362(_replace_encoding)
        4    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/dtypes/cast.py:606(_maybe_promote_cached)
       15    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/io/formats/string.py:63(_need_to_wrap_around)
       10    0.000    0.000    0.000    0.000 /usr/lib/python3.11/re/_parser.py:258(getwhile)
       18    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/dtypes/base.py:520(register)
        6    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/nanops.py:103(__call__)
        1    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/arraylike.py:1(<module>)
        1    0.000    0.000    0.002    0.002 /usr/lib/python3.11/zoneinfo/__init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/arrays/boolean.py:1(<module>)
       12    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/generic.py:566(<dictcomp>)
        7    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/_config/config.py:856(is_instance_factory)
       10    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/src/cinematic_impact_package/lib.py:394(<listcomp>)
       14    0.000    0.000    0.000    0.000 /usr/lib/python3.11/logging/__init__.py:1734(isEnabledFor)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/pathlib.py:455(PurePath)
       34    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/numpy/_core/numeric.py:1499(<listcomp>)
       21    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/groupby/grouper.py:948(<genexpr>)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.11/sysconfig.py:118(joinuser)
       48    0.000    0.000    0.000    0.000 /usr/lib/python3.11/typing.py:1028(<genexpr>)
        1    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/groupby/ops.py:105(WrappedCythonOp)
        1    0.000    0.000    0.005    0.005 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/internals/__init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/io/excel/_openpyxl.py:1(<module>)
        5    0.000    0.000    0.000    0.000 /usr/lib/python3.11/datetime.py:515(_check_date_fields)
        1    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/numpy/_core/memmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/_pydecimal.py:3883(Context)
       29    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/io/formats/format.py:558(_initialize_colspace)
        1    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/interchange/utils.py:1(<module>)
       10    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/groupby/groupby.py:966(_selected_obj)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.11/re/__init__.py:305(_compile_repl)
       28    0.000    0.000    0.000    0.000 /usr/lib/python3.11/ipaddress.py:1854(_split_scope_id)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/ipaddress.py:1542(_IPv4Constants)
        1    0.000    0.000    0.005    0.005 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/io/excel/__init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/threading.py:1409(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/importlib/resources/abc.py:1(<module>)
        1    0.000    0.000    0.002    0.002 /usr/lib/python3.11/email/_policybase.py:1(<module>)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.11/_pydecimal.py:3952(_set_signal_dict)
        1    0.000    0.000    0.003    0.003 /usr/lib/python3.11/importlib/resources/__init__.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/internals/api.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/window/doc.py:1(<module>)
       39    0.000    0.000    0.000    0.000 /usr/lib/python3.11/argparse.py:1394(_registry_get)
       14    0.000    0.000    0.000    0.000 /usr/lib/python3.11/re/__init__.py:198(split)
       24    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/numpy/_core/fromnumeric.py:1081(_argsort_dispatcher)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.11/email/feedparser.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/util/_decorators.py:1(<module>)
       15    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/dtypes/dtypes.py:342(construct_from_string)
        1    0.000    0.000    0.008    0.008 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/sorting.py:268(decons_obs_group_ids)
        1    0.000    0.000    0.008    0.008 /usr/lib/python3.11/secrets.py:1(<module>)
       11    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/groupby/grouper.py:638(_passed_categorical)
        2    0.000    0.000    0.001    0.001 /usr/lib/python3.11/json/__init__.py:274(load)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.11/_strptime.py:91(<listcomp>)
        8    0.000    0.000    0.001    0.000 /usr/lib/python3.11/argparse.py:2191(_match_argument)
        7    0.000    0.000    0.001    0.000 /usr/lib/python3.11/importlib/metadata/__init__.py:821(lookup)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.11/dataclasses.py:588(_repr_fn)
        1    0.000    0.000    0.004    0.004 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/util/version/__init__.py:336(Version)
        3    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/internals/managers.py:958(fast_xs)
       10    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/groupby/ops.py:1113(_is_indexed_like)
       29    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/io/formats/format.py:885(__init__)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.11/datetime.py:1673(__new__)
        1    0.000    0.000    0.001    0.001 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/interchange/dataframe_protocol.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/arrays/numpy_.py:48(NumpyExtensionArray)
        1    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pytz/lazy.py:172(<listcomp>)
        1    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/array_algos/masked_reductions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/dtypes/concat.py:1(<module>)
       15    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/io/formats/format.py:484(should_show_dimensions)
        1    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/io/pytables.py:2846(GenericFixed)
       19    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/util/_decorators.py:266(deprecate_nonkeyword_arguments)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.11/_strptime.py:83(<listcomp>)
        1    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/tseries/offsets.py:1(<module>)
        6    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/common.py:188(all_none)
        4    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/__future__.py:1(<module>)
        6    0.000    0.000    0.011    0.002 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/series.py:5773(isna)
        1    0.000    0.000    0.003    0.003 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/compat/compressors.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/io/excel/_util.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/zipfile.py:1245(__init__)
        1    0.000    0.000    0.004    0.004 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/_config/localization.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/dtypes/dtypes.py:155(CategoricalDtype)
       10    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/groupby/ops.py:698(<listcomp>)
       15    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/dtypes/dtypes.py:2228(construct_from_string)
        6    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/io/parsers/base_parser.py:279(_extract_multi_indexer_columns)
        1    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/dtypes/astype.py:1(<module>)
       11    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/groupby/grouper.py:983(is_in_axis)
        1    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/io/json/_normalize.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.pow}
        1    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/plotting/_misc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/api/types/__init__.py:1(<module>)
        6    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/io/parsers/readers.py:1990(__exit__)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.11/email/parser.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/numpy/_core/_asarray.py:1(<module>)
       99    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
        1    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/computation/expr.py:338(BaseExprVisitor)
       89    0.000    0.000    0.000    0.000 /usr/lib/python3.11/contextlib.py:431(__enter__)
        1    0.000    0.000    0.002    0.002 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pytz/lazy.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/importlib/metadata/_itertools.py:1(<module>)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.11/textwrap.py:347(wrap)
       30    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        1    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/io/clipboards.py:1(<module>)
       66    0.000    0.000    0.000    0.000 /usr/lib/python3.11/enum.py:239(__init__)
        1    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/util/_print_versions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pytz/lazy.py:118(<listcomp>)
       68    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/numpy/lib/_function_base_impl.py:5701(_append_dispatcher)
        1    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/numpy/lib/_arraypad_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/ipaddress.py:671(_BaseNetwork)
       11    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/groupby/grouper.py:693(_group_arraylike)
        3    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/util/_decorators.py:492(indent)
       58    0.000    0.000    0.000    0.000 /usr/lib/python3.11/dataclasses.py:425(<genexpr>)
       72    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
       18    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/dtypes/base.py:478(register_extension_dtype)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/pprint.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/importlib/resources/_itertools.py:1(<module>)
        1    0.000    0.000    0.002    0.002 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/window/expanding.py:1(<module>)
        3    0.000    0.000    0.001    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/compat/_optional.py:85(import_optional_dependency)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.11/email/parser.py:41(parse)
       12    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/arrays/datetimelike.py:164(_make_unpacked_invalid_op)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/zoneinfo/_tzpath.py:1(<module>)
